                                         s                                         | ind 
 531678942672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678942674195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 532674198647195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 532674198674195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 532674918647195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 532674918674195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 532678194647195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 532678194674195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 532678914647195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 532678914674195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 534276198627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 534276198672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 534276918627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 534276918672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 534672198627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 534672198672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 534672918627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 534672918672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 534678192627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 534678192672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 534678912627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 534678912672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 5312764986241953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312764986241957   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312764986271953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312764986421953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312764986421957   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312764986471953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312764986721953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312764986741953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312768946241953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312768946241957   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312768946271953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312768946421953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312768946421957   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312768946471953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312768946721953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312768946741953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312769486241953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312769486241957   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312769486271953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312769486421953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312769486421957   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312769486471953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312769486721953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5312769486741953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316724986241953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316724986241957   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316724986271953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316724986421953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316724986421957   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316724986471953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316724986721953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316724986741953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316728946241953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316728946241957   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316728946271953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316728946421953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316728946421957   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316728946471953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316728946721953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316728946741953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316729486241953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316729486241957   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316729486271953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316729486421953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316729486421957   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
